0
//Type	Slot	Skill	Width	Height	Serial	Option	Drop	Name				Level	DmgMin	DmgMax	Speed	Dur	MgcDur	MgcRate	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	ReqCmd	None	DW	DK	FE	MG	DL	SU	RF
43	0	0	1   	4	1	1       0	"Bloodangel Stick"		149	81	87	30	0       130     151	380 	58	15	0       0   	0	3	0   	0   	0   	0   	0   	3   	0
49	0	0	1	4	1	1	0	"Blessed Divine Staff"		200	153	165	30	0	182	164	0	30	4	0	0	0	2	1	0	0	1	0	0	0
50	0	0	1	4	1	1	0	"Blessed Divine Stick"		200	153	165	30	0	182	160	0	30	13	0	0	0	2	0	0	0	0	0	1	0
51	0	0	1	4	1	1	0	"Darkangel Staff"		160	120	126	30	0	100	173	580	47	14	0	0	0	3	3	0	0	3	0	0	0
52	0	0	1	4	1	1	0	"Darkangel Stick"		160	111	117	30	0	100	169	580	58	15	0	0	0	0	0	0	0	0	0	3	0
53	0	0 	1	4	1	1	0	"Holyangel Staff"		180	135	148	30	0 	100	196	680	44 	13 	0 	0	0	0	3	0	0	3	0	0	0
54	0	0 	1	4	1	1	0	"Holyangel Stick"		180	127	135	30	0 	100	196	680	39 	14 	0 	0	0	0	0	0	0	0	0	3	0
55	0	0 	1	4	1	1	0	"Soul Staff"			200	157	170	30	0 	100	219	580	41 	12 	0 	0	0	0	3	0	0	3	0	0	0
56	0	0 	1	4	1	1	0	"Soul Stick"			200	145	153	30	0 	100	223	580	37 	13 	0 	0	0	0	0	0	0	0	0	3	0
58	1	0	1	2	1	1	0	"Darkangel Book"		160	0	0	50	0	150	170	580	0	29	125	0	0	0	0	0	0	0	0	3	0
60      1      	225     1   	2   	1       1       0       "Bloodangel Book"            	150     0       0  	50      0       150     149     380	0     	30    	98    	0   	0     	2      	0   	0   	0   	0   	0   	3   	0
end

6
//Type	Slot	Skill	Width	Height	Serial	Option	Drop	Name				Level	Def	DefRate	Dur	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	ReqCmd	None	DW	DK	FE	MG	DL	SU	RF
0	1	0	2	2	1	1	1	"Small Shield"			3	1	3	22	0	70	0	0	0	0	3	1	1	1	1	1	0	0
1	1	0	2	2	1	1	1	"Horn Shield"			9	3	9	28	0	100	0	0	0	0	3	0	1	0	1	1	0	0
2	1	0	2	2	1	1	1	"Kite Shield"			12	4	12	32	0	110	0	0	0	0	3	0	1	0	1	1	0	0
3	1	0	2	2	1	1	1	"Elven Shield"			21	8	21	36	0	30	100	0	0	0	3	0	0	1	0	0	0	0
4	1	18	2	2	1	1	1	"Buckler"			6	2	6	24	0	80	0	0	0	0	3	1	1	1	1	1	0	0
5	1	18	2	2	1	1	1	"Dragon Slayer Shield"		35	10	36	44	0	100	40	0	0	0	3	0	1	0	1	1	0	0
6	1	18	2	2	1	1	1	"Skull Shield"			15	5	15	34	0	110	0	0	0	0	3	1	1	1	1	1	0	0
7	1	18	2	2	1	1	1	"Spiked Shield"			30	9	30	40	0	130	0	0	0	0	3	0	1	0	1	1	0	0
8	1	18	2	2	1	1	1	"Tower Shield"			40	11	40	46	0	130	0	0	0	0	3	0	1	1	1	1	0	0
9	1	18	2	2	1	1	1	"Plate Shield"			25	8	25	38	0	120	0	0	0	0	3	0	1	0	1	1	0	0
10	1	18	2	2	1	1	1	"Large Round Shield"		18	6	18	35	0	120	0	0	0	0	3	0	1	0	1	1	0	0
11	1	18	2	2	1	1	1	"Serpent Shield"		45	12	45	48	0	130	0	0	0	0	3	0	1	1	1	1	0	0
12	1	18	2	2	1	1	1	"Bronze Shield"			54	13	54	52	0	140	0	0	0	0	3	0	1	0	1	0	0	0
13	1	18	2	2	1	1	1	"Dragon Shield"			60	14	60	60	0	120	40	0	0	0	3	0	1	0	1	0	0	0
14	1	0	2	3	1	1	1	"Legendary Shield"		48	7	48	50	0	90	25	0	0	0	3	1	0	1	1	0	0	0
15	1	0	2	3	1	1	1	"Grand Soul Shield"		74	12	55	55	0	70	23	0	0	0	3	2	0	0	0	0	0	0
16	1	0	2	2	1	1	1	"Elemental Shield"		66	11	28	51	0	30	60	30	0	0	3	0	0	2	0	0	0	0
17	1	18	2	2	1	1	0	"Crimson Glory"			104	19	90	51	380	95	48	0	0	0	3	0	2	0	0	0	0	0
18	1	18	2	2	1	1	0	"Salamander Shield"		102	20	96	51	380	80	61	0	0	0	3	0	0	0	1	0	0	0
19	1	0	2	2	1	1	0	"Frost Barrier"			99	14	58	51	380	26	53	26	0	0	3	0	0	2	0	0	0	0
20	1	18	2	2	1	1	0	"Guardian Shield"		106	12	30	51	380	54	18	0	0	0	3	2	0	0	0	0	0	0
21	1	18	2	2	1	1	1	"Cross Shield"			70	16	75	65	0	140	55	0	0	0	3	0	0	0	0	1	0	0
22	1	18	2	2	1	1	0	"Lazy Wind Shield"		129	36	108	90	400	67	56	0	0	0	3	0	3	0	0	0	0	0
23	1	0	2	2	1	1	0	"Light Lord Shield"		124	23	69	90	400	16	35	35	0	0	3	0	0	3	0	0	0	0
24	1	0	2	2	1	1	0	"Dark Devil Shield"		122	21	63	90	400	52	15	0	0	0	3	3	0	0	0	0	0	0
25	1	18	2	2	1	1	0	"Magic Knight Shield"		128	29	87	90	400	53	18	0	0	0	3	0	0	0	3	0	0	0
26	1	18	2	2	1	1	0	"Ambition Shield"		131	27	81	90	400	104	24	0	0	0	3	0	0	0	0	3	0	0
end

7
//Type	Slot	Skill	Width	Height	Serial	Option	Drop	Name				Level	Def	MgcDef	Dur	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	ReqCmd	None	DW	DK	FE	MG	DL	SU	RF
0	2	0	2	2	1	1	1	"Bronze Helm"			16	9	0	34	0	80	20	0	0	0	3	0	1	0	0	1	0	0
1	2	0	2	2	1	1	1	"Dragon Helm"			57	24	0	68	0	120	30	0	0	0	3	0	1	0	0	0	0	0
2	2	0	2	2	1	1	1	"Pad Helm"			5	4	0	28	0	20	0	0	0	0	3	1	0	0	0	0	0	0
3	2	0	2	2	1	1	1	"Legendary Helm"		50	18	0	42	0	30	0	0	0	0	3	1	0	0	0	0	0	0
4	2	0	2	2	1	1	1	"Bone Helm"			18	9	0	30	0	30	0	0	0	0	3	1	0	0	0	0	0	0
5	2	0	2	2	1	1	1	"Leather Helm"			6	5	0	30	0	80	0	0	0	0	3	0	1	0	0	1	0	0
6	2	0	2	2	1	1	1	"Scale Helm"			26	12	0	40	0	110	0	0	0	0	3	0	1	0	0	1	0	1
7	2	0	2	2	1	1	1	"Sphinx Helm"			32	13	0	36	0	30	0	0	0	0	3	1	0	0	0	0	0	0
8	2	0	2	2	1	1	1	"Brass Helm"			36	17	0	44	0	100	30	0	0	0	3	0	1	0	0	0	0	1
9	2	0	2	2	1	1	1	"Plate Helm"			46	20	0	50	0	130	0	0	0	0	3	0	1	0	0	0	0	1
10	2	0	2	2	1	1	1	"Vine Helm"			6	4	0	22	0	30	60	0	0	0	3	0	0	1	0	0	0	0
11	2	0	2	2	1	1	1	"Silk Helm"			16	8	0	26	0	30	70	0	0	0	3	0	0	1	0	0	0	0
12	2	0	2	2	1	1	1	"Wind Helm"			28	12	0	32	0	30	80	0	0	0	3	0	0	1	0	0	0	0
13	2	0	2	2	1	1	1	"Spirit Helm"			40	16	0	38	0	40	80	0	0	0	3	0	0	1	0	0	0	0
14	2	0	2	2	1	1	1	"Guardian Helm"			53	23	0	45	0	40	80	0	0	0	3	0	0	1	0	0	0	0
16	2	0	2	2	1	1	1	"Black Dragon Helm"		82	30	0	74	0	170	60	0	0	0	3	0	1	0	0	0	0	0
17	2	0	2	2	1	1	1	"Dark Phoenix Helm"		92	43	0	80	0	205	62	0	0	0	3	0	2	0	0	0	0	0
18	2	0	2	2	1	1	1	"Grand Soul Helm"		81	27	0	67	0	59	20	0	0	0	3	2	0	0	0	0	0	0
19	2	0	2	2	1	1	1	"Holy Spirit Helm"		85	37	0	74	0	50	110	0	0	0	3	0	0	2	0	0	0	0
21	2	0	2	2	1	1	1	"Great Dragon Helm"		104	53	0	86	0	200	58	0	0	0	3	0	2	0	0	0	0	0
22	2	0	2	2	1	1	1	"Dark Soul Helm"		110	36	0	75	0	55	18	0	0	0	3	2	0	0	0	0	0	0
24	2	0	2	2	1	1	1	"Red Spirit Helm"		93	46	0	80	0	52	115	0	0	0	3	0	0	2	0	0	0	0
25	2	0	2	2	1	1	1	"Light Plate Helm"		46	20	0	42	0	70	20	0	0	0	3	0	0	0	0	1	0	0
26	2	0	2	2	1	1	1	"Adamantine Helm"		66	24	0	56	0	77	21	0	0	0	3	0	0	0	0	1	0	0
27	2	0	2	2	1	1	1	"Dark Steel Helm"		86	26	0	70	0	84	22	0	0	0	3	0	0	0	0	1	0	0
28	2	0	2	2	1	1	1	"Dark Master Helm"		106	34	0	78	0	80	21	0	0	0	3	0	0	0	0	1	0	0
29	2	0	2	2	1	1	1	"Dragon Knight Helm"		130	66	0	90	380	170	60	0	0	0	3	0	2	0	0	0	0	0
30	2	0	2	2	1	1	1	"Venom Mist Helm"		126	48	0	86	380	44	15	0	0	0	3	2	0	0	0	0	0	0
31	2	0	2	2	1	1	1	"Sylphid Ray Helm"		126	57	0	86	380	38	80	0	0	0	3	0	0	2	0	0	0	0
33	2	0	2	2	1	1	1	"Sunlight Helm"			130	46	0	82	380	62	16	0	0	0	3	0	0	0	0	1	0	0
34	2	0	2	2	1	1	1	"Ashcrow Helm"			67	27	0	72	0	160	50	0	0	0	3	0	1	0	0	0	0	0
35	2	0	2	2	1	1	1	"Eclipse Helm"			67	22	0	54	0	53	12	0	0	0	3	1	0	0	0	0	0	0
36	2	0	2	2	1	1	1	"Iris Helm"			67	30	0	59	0	50	70	0	0	0	3	0	0	1	0	0	0	0
38	2	0	2	2	1	1	1	"Glorious Helm"			97	30	0	74	0	80	21	0	0	0	3	0	0	0	0	1	0	0
39	2	0	2	2	1	1	1	"Violent Wind Helm"		28	13	0	36	0	31	0	0	0	0	3	0	0	0	0	0	1	0
40	2	0	2	2	1	1	1	"Red Wing Helm"			50	18	0	42	0	26	4	0	0	0	3	0	0	0	0	0	1	0
41	2	0	2	2	1	1	1	"Ancient Helm"			68	24	0	54	0	52	16	0	0	0	3	0	0	0	0	0	1	0
42	2	0	2	2	1	1	1	"Demonic Helm"			81	32	0	67	0	60	20	0	0	0	3	0	0	0	0	0	2	0
43	2	0	2	2	1	1	1	"Storm Blitz Helm"		110	43	0	75	380	56	20	0	0	0	3	0	0	0	0	0	2	0
44	2	0	2	2	1	1	0	"Eternal Wing Helm"		116	35	0	86	380	62	20	170	0	0	3	0	0	0	0	0	2	0
45	2	0	2	2	1	1	0	"Titan Helm"			111	63	0	86	380	222	32	0	0	0	3	0	2	0	0	0	0	0
46	2	0	2	2	1	1	0	"Brave Helm"			107	51	0	86	380	74	162	0	0	0	3	0	2	0	0	0	0	0
49	2	0	2	2	1	1	0	"Seraphim Helm"			111	50	0	86	380	55	197	0	0	0	3	0	0	2	0	0	0	0
50	2	0	2	2	1	1	0	"Divine Helm"			104	44	0	86	380	32	29	138	0	0	3	0	0	2	0	0	0	0
51	2	0	2	2	1	1	0	"Royal Helm"			111	44	0	86	380	105	38	0	0	0	3	0	0	0	0	1	0	0
52	2	0	2	2	1	1	0	"Hades Helm"			109	41	0	86	400	60	15	181	0	0	3	2	0	0	0	0	0	0
54	2	0	2	2	1	1	0	"Lazy Wind Helm"		143	68	0	90	400	67	151	0	0	0	3	0	3	0	0	0	0	0
55	2	0	2	2	1	1	0	"Dark Devil Helm"		143	50	0	90	400	45	13	171	0	0	3	3	0	0	0	0	0	0
56	2	0	2	2	1	1	0	"Sticky Helm"			143	59	0	90	400	48	180	0	0	0	3	0	0	3	0	0	0	0
58	2	0	2	2	1	1	0	"Ambition Helm"			143	53	0	90	400	112	22	0	0	0	3	0	0	0	0	3	0	0
//  
59	2	0	2	2	1	1	1	"Sacred Fire Helm"		54	24	0	52	0	85	0	0	75	0	3	0	0	0	0	0	0	1
60	2	0	2	2	1	1	1	"Storm Jahad Helm"		70	32	0	68	0	100	0	0	90	0	3	0	0	0	0	0	0	1
61	2	0	2	2	1	1	1	"Piercing Groove Helm"		90	45	0	82	0	115	0	0	100	0	3	0	0	0	0	0	0	1
62	2	0	2	2	0	0	0	"Lucky Scale Helm"		26	16	0	255	1	0	0	0	0	0	3	0	1	0	0	1	0	1
63	2	0	2	2	0	0	0	"Lucky Silk Helm"		16	11	0	255	1	0	0	0	0	0	3	0	0	1	0	0	0	0
64	2	0	2	2	0	0	0	"Lucky Sphinx Helm"		32	17	0	255	1	0	0	0	0	0	3	1	0	0	0	0	0	0
65	2	0	2	2	0	0	0	"Lucky Violent Wind Helm"	28	17	0	255	1	0	0	0	0	0	3	0	0	0	0	0	1	0
66	2	0	2	2	0	0	0	"Lucky Adamantine Helm"		66	29	0	255	0	0	0	0	0	0	3	0	0	0	0	1	0	0
67	2	0	2	2	0	0	0	"Lucky Dragon Helm"		57	29	0	255	0	0	0	0	0	0	3	0	1	0	0	0	0	0
68	2	0	2	2	0	0	0	"Lucky Guardian Helm"		53	28	0	255	0	0	0	0	0	0	3	0	0	1	0	0	0	0
69	2	0	2	2	0	0	0	"Lucky Legendary Helm"		50	23	0	255	0	0	0	0	0	0	3	1	0	0	0	0	0	0
70	2	0	2	2	0	0	0	"Lucky Red Wing Helm"		50	20	0	255	0	0	0	0	0	0	3	0	0	0	0	0	1	0
72	2	0	2	2	0	0	0	"Lucky Storm Jahad Helm"	70	32	0	255	0	0	0	0	0	0	3	0	0	0	0	0	0	1
73	2	0	2	2	1	1	1	"Phoenix Soul Helm"		128	60	0	88	380	97	0	0	85	0	3	0	0	0	0	0	0	1
74	2	0	2	2	1	1	0	"Stormwing Helm"		143	72	0	90	400	200	33	0	0	0	3	0	3	0	0	0	0	0
75	2	0	2	2	1	1	0	"Light Lord Helm"		143	53	0	90	400	14	31	127	0	0	3	0	0	3	0	0	0	0
91	2	0	2	2	1	1	0	"Succubus Helm"			143	44	0	90	400	56	19	157	0	0	3	0	0	0	0	0	3	0
96 	2 	0 	2 	2 	1 	1 	0 	"Bloodangel Knight Helm"	150 	81 	0 	100 	380 	0 	20 	105 	0 	0 	3 	0 	3 	0 	0 	0 	0 	0 
97 	2 	0 	2 	2 	1 	1 	0 	"Bloodangel Elf Helm"		150 	30 	0 	100 	380 	12 	27 	149 	0 	0 	3 	0 	0 	3 	0 	0 	0 	0
98	2	0	2   	2   	1	1	0	"Bloodangel Knight Helm"   	150	63	0	100     380	145     42	0       0       0	3	0       3       0  	0       0       0  	0
99	2	0	2   	2   	1	1	0	"Bloodangel Wizard Helm"	150	46	0	100     380	42	14	0       0       0	3	3       0       0  	0       0       0  	0
100	2	0	2   	2   	1	1	0	"Bloodangel Elf Helm"		150	56	0	100     380	34	75	0       0       0	3	0       0       3  	0       0       0  	0
101	2	0	2   	2   	1	1	0	"Bloodangel Summoner Helm"	150	42	0	100     380	34	11	0       0       0	3	0       0       0  	0       0       3  	0
103	2	0	2   	2   	1	1	0	"Bloodangel Lord Helm"		150	44	0	100     380	59	15	0       0       0	3	0       0       0  	0       3       0  	0
104	2	0	2   	2   	1	1	0	"Bloodangel Fighter Helm"	150	42	0	100     380	71	50	0       0       0	3	0       0       0  	0       0       0  	3
//Season11
110	2	0	2	2	1	1	0 	"Darkangel Knight Helm"		150	88	0	100	580	145 	42 	0 	0 	0 	3	0 	3	0	0	0	0	0
111	2	0	2	2	1	1	0 	"Darkangel Wizard Helm"		150	71	0	100	580	42 	14 	0 	0 	0 	3	3 	0	0	0	0	0	0
112	2	0	2	2	1	1	0 	"Darkangel Elf Helm"		150	81	0	100	580	34 	75 	0 	0 	0 	3	0 	0	3	0	0	0	0
113	2	0	2	2	1	1	0 	"Darkangel Summoner Helm"	150	67	0	100	580	34 	11 	0 	0 	0 	3	0 	0	0	0	0	3	0
115	2	0	2	2	1	1	0 	"Darkangel Lord Helm"		150	69	0	100	580	59 	15 	0 	0 	0 	3	0 	0	0	0	3	0	0
116	2	0	2	2	1	1	0 	"Darkangel Fighter Helm"	150	67	0	100	580	71 	50 	0 	0 	0 	3	0 	0	0	0	0	0	3
117	2	0	2	2	1	1	0	"Darkangel Elf Energy Helm"	150	43	0	100	580	12	27	149	0	0	3	0	0	3	0	0	0	0
119	2	0	2	2	1	1	0	"Darkangel Knight Energy Helm"	150	106	0	100	580	0	20	105	0	0	3	0	3	0	0	0	0	0 
//
120	2	0	2	2	1	1	0	"Holyangel Knight Helm"		150	138	0	100	680	145	42	0 	0	0 	3	0	3	0	0	0	0	0 
121	2	0	2	2	1	1	0	"Holyangel Wizard Helm"		150	121	0	100	680	42 	14	0 	0	0 	3	3	0	0	0	0	0	0 
122	2	0	2	2	1	1	0	"Holyangel Elf Helm"		150	131	0	100	680	34 	75	0 	0	0 	3	0	0	3	0	0	0	0 
123	2	0	2	2	1	1	0	"Holyangel Summoner Helm"	150	117	0	100	680	34 	11	0 	0	0 	3	0	0	0	0	0	3	0 
125	2	0	2	2	1	1	0	"Holyangel Lord Helm"		150	119	0	100	680	59 	15	0 	0	0 	3	0	0	0	0	3	0	0 
126	2	0	2	2	1	1	0	"Holyangel Fighter Helm"	150	117	0	100	680	71 	0 	0 	0	0 	3	0	0	0	0	0	0	3 
127	2	0	2	2	1	1	0	"Holyangel Knight Helm"		150	156	0	100	680	0 	20	105	0	0 	3	0	3	0	0	0	0	0 
128	2	0	2	2	1	1	0	"Holyangel Elf Helm"		150	62 	0	100	680	12 	27	149	0	0 	3	0	0	3	0	0	0	0 
//
130	2	0	2	2	1	1	0	"Soul Knight Helm"		150	183	0	100	780	145	42	0 	0	0 	3	0	3	0	0	0	0	0 
131	2	0	2	2	1	1	0	"Soul Wizard Helm"		150	164	0	100	780	42 	14	0 	0	0 	3	3	0	0	0	0	0	0 
132	2	0	2	2	1	1	0	"Soul Elf Helm"			150	178	0	100	780	34 	75	0 	0	0 	3	0	0	3	0	0	0	0 
133	2	0	2	2	1	1	0	"Soul Summoner Helm"		150	166	0	100	780	34 	11	0 	0	0 	3	0	0	0	0	0	3	0 
135	2	0	2	2	1	1	0	"Soul Lord Helm"		150	162	0	100	780	59 	15	0 	0	0 	3	0	0	0	0	3	0	0 
136	2	0	2	2	1	1	0	"Soul Fighter Helm"		150	160	0	100	780	71 	0 	0 	0	0 	3	0	0	0	0	0	0	3 
137	2	0	2	2	1	1	0	"Soul Knight Helm"		150	201	0	100	780	0 	20	105	0	0 	3	0	3	0	0	0	0	0 
138	2	0	2	2	1	1	0	"Soul Elf Helm"			150	123	0	100	780	12 	27	149	0	0 	3	0	0	3	0	0	0	0 
//
166	2	0	2	2	1	1	0	"Tigris Helm"			111	41	0	86	380	66	18	0	0	0	3	0	0	0	0	0	0	1
167	2	0	2	2	1	1	0	"Crimson Skull Helm"		143	52	0	90	400	76	23	0	0	0	3	0	0	0	0	0	0	3
//Tier1
//Type	Slot	Skill	Width	Height	Serial	Option	Drop	Name				Level	Def	MgcDef	Dur	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	ReqCmd	None	DW	DK	FE	MG	DL	SU	RF
301	2	0	2	2	1	1	0	"Great Dragon Helm"		150	63	0	100     380	145     42	0       0       0	3	0       3       0  	0       0       0  	0
302	2	0	2	2	1	1	0	"Dark Soul Helm"		150	46	0	100     380	42	14	0       0       0	3	3       0       0  	0       0       0  	0
303	2	0	2	2	1	1	0	"Red Spirit Helm"		150	56	0	100     380	34	75	0       0       0	3	0       0       3  	0       0       0  	0
304	2	0	2	2	1	1	0	"Demonic Helm"			150	42	0	100     380	34	11	0       0       0	3	0       0       0  	0       0       3  	0
306	2	0	2	2	1	1	0	"Dark Master Helm"		150	44	0	100     380	59	15	0       0       0	3	0       0       0  	0       3       0  	0
307	2	0	2	2	1	1	0	"Storm Zahad Helm"		150	42	0	100     380	71	50	0       0       0	3	0       0       0  	0       0       0  	3
309 	2 	0 	2 	2 	1 	1 	0 	"Leather Helm"			150 	81 	0 	100 	380 	0 	20 	105 	0 	0 	3 	0 	3 	0 	0 	0 	0 	0 
310 	2 	0 	2 	2 	1 	1 	0 	"Vine Helm"			150 	30 	0 	100 	380 	12 	27 	149 	0 	0 	3 	0 	0 	3 	0 	0 	0 	0

//Tier2
311	2	0	2	2	1	1	0 	"Great Dragon Helm"		150	88	0	100	580	145 	42 	0 	0 	0 	3	0 	3	0	0	0	0	0
312	2	0	2	2	1	1	0 	"Dark Soul Helm"		150	71	0	100	580	42 	14 	0 	0 	0 	3	3 	0	0	0	0	0	0
313	2	0	2	2	1	1	0 	"Red Spirit Helm"		150	81	0	100	580	34 	75 	0 	0 	0 	3	0 	0	3	0	0	0	0
314	2	0	2	2	1	1	0 	"Demonic Helm"			150	67	0	100	580	34 	11 	0 	0 	0 	3	0 	0	0	0	0	3	0
316	2	0	2	2	1	1	0 	"Dark Master Helm"		150	69	0	100	580	59 	15 	0 	0 	0 	3	0 	0	0	0	3	0	0
317	2	0	2	2	1	1	0 	"Storm Zahad Helm"		150	67	0	100	580	71 	50 	0 	0 	0 	3	0 	0	0	0	0	0	3
318	2	0	2	2	1	1	0	"Vine Helm"			150	43	0	100	580	12	27	149	0	0	3	0	0	3	0	0	0	0
320	2	0	2	2	1	1	0	"Leather Helm"			150	106	0	100	580	0	20	105	0	0	3	0	3	0	0	0	0	0 

//Tier3
321	2	0	2	2	1	1	0 	"Great Dragon Helm"		150	138	0	100	680	145	42	0 	0	0 	3	0	3	0	0	0	0	0
322	2	0	2	2	1	1	0 	"Dark Soul Helm"		150	121	0	100	680	42 	14	0 	0	0 	3	3	0	0	0	0	0	0
323	2	0	2	2	1	1	0 	"Red Spirit Helm"		150	131	0	100	680	34 	75	0 	0	0 	3	0	0	3	0	0	0	0
324	2	0	2	2	1	1	0 	"Demonic Helm"			150	117	0	100	680	34 	11	0 	0	0 	3	0	0	0	0	0	3	0
326	2	0	2	2	1	1	0 	"Dark Master Helm"		150	119	0	100	680	59 	15	0 	0	0 	3	0	0	0	0	3	0	0
327	2	0	2	2	1	1	0 	"Storm Zahad Helm"		150	117	0	100	680	71 	0 	0 	0	0 	3	0	0	0	0	0	0	3
328	2	0	2	2	1	1	0	"Vine Helm"			150	62 	0	100	680	12 	27	149	0	0 	3	0	0	3	0	0	0	0
330	2	0	2	2	1	1	0	"Leather Helm"			150	156	0	100	680	0 	20	105	0	0 	3	0	3	0	0	0	0	0 

//Tier4
331	2	0	2	2	1	1	0 	"Great Dragon Helm"		150	183	0	100	780	145	42	0 	0	0 	3	0	3	0	0	0	0	0
332	2	0	2	2	1	1	0 	"Dark Soul Helm"		150	164	0	100	780	42 	14	0 	0	0 	3	3	0	0	0	0	0	0
333	2	0	2	2	1	1	0 	"Red Spirit Helm"		150	178	0	100	780	34 	75	0 	0	0 	3	0	0	3	0	0	0	0
334	2	0	2	2	1	1	0 	"Demonic Helm"			150	166	0	100	780	34 	11	0 	0	0 	3	0	0	0	0	0	3	0
336	2	0	2	2	1	1	0 	"Dark Master Helm"		150	162	0	100	780	59 	15	0 	0	0 	3	0	0	0	0	3	0	0
337	2	0	2	2	1	1	0 	"Storm Zahad Helm"		150	160	0	100	780	71 	0 	0 	0	0 	3	0	0	0	0	0	0	3
338	2	0	2	2	1	1	0	"Vine Helm"			150	123	0	100	780	12 	27	149	0	0 	3	0	0	3	0	0	0	0
340	2	0	2	2	1	1	0	"Leather Helm"			150	201	0	100	780	0 	20	105	0	0 	3	0	3	0	0	0	0	0 
end

8
//Type	Slot	Skill	Width	Height	Serial	Option	Drop	Name				Level	Def	MgcDef	Dur	ReqLvl	ReqStr	ReqAgi	ReqEne	ReqVit	ReqCmd	None	DW	DK	FE	MG	DL	SU	RF
0	3	0	2	2	1	1	1	"Bronze Armor"			18	14	0	34	0	80	20	0	0	0	3	0	1	0	1	1	0	0
1	3	0	2	3	1	1	1	"Dragon Armor"			59	37	0	68	0	120	30	0	0	0	3	0	1	0	1	0	0	0
2	3	0	2	2	1	1	1	"Pad Armor"			10	7	0	28	0	30	0	0	0	0	3	1	0	0	1	0	0	0
3	3	0	2	2	1	1	1	"Legendary Armor"		56	22	0	42	0	40	0	0	0	0	3	1	0	0	1	0	0	0
4	3	0	2	2	1	1	1	"Bone Armor"			22	13	0	30	0	40	0	0	0	0	3	1	0	0	1	0	0	0
5	3	0	2	3	1	1	1	"Leather Armor"			10	10	0	30	0	80	0	0	0	0	3	0	1	0	1	1	0	0
6	3	0	2	2	1	1	1	"Scale Armor"			28	18	0	40	0	110	0	0	0	0	3	0	1	0	1	1	0	1
7	3	0	2	3	1	1	1	"Sphinx Armor"			38	17	0	36	0	40	0	0	0	0	3	1	0	0	1	0	0	0
8	3	0	2	2	1	1	1	"Brass Armor"			38	22	0	44	0	100	30	0	0	0	3	0	1	0	1	0	0	1
9	3	0	2	2	1	1	1	"Plate Armor"			48	30	0	50	0	130	0	0	0	0	3	0	1	0	1	0	0	1
10	3	0	2	2	1	1	1	"Vine Armor"			10	8	0	22	0	30	60	0	0	0	3	0	0	1	0	0	0	0
11	3	0	2	2	1	1	1	"Silk Armor"			20	12	0	26	0	30	70	0	0	0	3	0	0	1	0	0	0	0
12	3	0	2	2	1	1	1	"Wind Armor"			32	16	0	32	0	30	80	0	0	0	3	0	0	1	0	0	0	0
13	3	0	2	2	1	1	1	"Spirit Armor"			44	21	0	38	0	40	80	0	0	0	3	0	0	1	0	0	0	0
14	3	0	2	2	1	1	1	"Guardian Armor"		57	29	0	45	0	40	80	0	0	0	3	0	0	1	0	0	0	0
15	3	0	2	3	1	1	1	"Storm Crow Armor"		80	44	0	80	0	150	70	0	0	0	3	0	0	0	1	0	0	0
16	3	0	2	3	1	1	1	"Black Dragon Armor"		90	48	0	74	0	170	60	0	0	0	3	0	1	0	0	0	0	0
17	3	0	2	3	1	1	1	"Dark Phoenix Armor"		100	63	0	80	0	214	65	0	0	0	3	0	2	0	0	0	0	0
18	3	0	2	3	1	1	1	"Grand Soul Armor"		91	33	0	67	0	59	20	0	0	0	3	2	0	0	0	0	0	0
19	3	0	2	2	1	1	1	"Holy Spirit Armor"		92	44	0	74	0	50	110	0	0	0	3	0	0	2	0	0	0	0
20	3	0	2	3	1	1	1	"Thunder Hawk Armor"		107	60	0	82	0	170	70	0	0	0	3	0	0	0	1	0	0	0
21	3	0	2	3	1	1	1	"Great Dragon Armor"		126	75	0	86	0	200	58	0	0	0	3	0	2	0	0	0	0	0
22	3	0	2	3	1	1	1	"Dark Soul Armor"		122	43	0	75	0	55	18	0	0	0	3	2	0	0	0	0	0	0
23	3	0	2	3	1	1	1	"Hurricane Armor"		128	73	0	90	0	162	66	0	0	0	3	0	0	0	1	0	0	0
24	3	0	2	2	1	1	1	"Red Spirit Armor"		109	55	0	80	0	52	115	0	0	0	3	0	0	2	0	0	0	0
25	3	0	2	3	1	1	1	"Light Plate Armor"		62	25	0	42	0	70	20	0	0	0	3	0	0	0	0	1	0	0
26	3	0	2	3	1	1	1	"Adamantine Armor"		78	36	0	56	0	77	21	0	0	0	3	0	0	0	0	1	0	0
27	3	0	2	3	1	1	1	"Dark Steel Armor"		96	43	0	70	0	84	22	0	0	0	3	0	0	0	0	1	0	0
28	3	0	2	3	1	1	1	"Dark Master Armor"		117	51	0	78	0	80	21	0	0	0	3	0	0	0	0	1	0	0
29	3	0	2	3	1	1	1	"Dragon Knight Armor"		140	88	0	90	380	170	60	0	0	0	3	0	2	0	0	0	0	0
30	3	0	2	3	1	1	1	"Venom Mist Armor"		146	57	0	86	380	44	15	0	0	0	3	2	0	0	0	0	0	0
31	3	0	2	3	1	1	1	"Sylphid Ray Armor"		146	68	0	86	380	38	80	0	0	0	3	0	0	2	0	0	0	0
